pl_name,hostname,sy_dist,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_rvamp,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccen_reflink,st_mass,st_lum,discoverymethod,st_lum_solar
Kepler-244 b,Kepler-244,1036.49,4.311792,0.05,8.05,2.76,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.933,-0.25619,Transit,0.554383122176661
Kepler-183 b,Kepler-183,1050.64,5.687945,0.064,4.9,2.06,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.99,0.026,Transit,1.0616955571987245
K2-193 b,K2-193,411.923,14.786889,0.1184,14.8,3.95,,,,,0,,1.01,-0.07572,Transit,0.8400013808798806
TOI-908 b,TOI-908,175.748,3.183792,0.041657,16.137,3.186,7.244,0.132,0.091,-0.091,0,<a refstr=HAWTHORN_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.524.3877H/abstract target=ref>Hawthorn et al. 2023</a>,0.95,-0.03953,Transit,0.9129983654220603
K2-197 b,K2-197,247.637,8.357881,0.0806,7.08,2.56,,,,,0,,1.0,-0.11379,Transit,0.7695024377578619
Kepler-180 c,Kepler-180,695.65,41.885775,0.229,9.32,3.01,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.95,-0.13204,Transit,0.7378362697676252
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,4540.0,,3.54,413.1769291,13.6,,,,,0,,0.63,,Microlensing,
KMT-2021-BLG-0712L b,KMT-2021-BLG-0712L,3090.0,,2.22,38.19,6.91,,,,,0,,0.22,,Microlensing,
Kepler-209 b,Kepler-209,576.946,16.087845,0.122,5.73,2.26,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.971,-0.12879,Transit,0.7433785063807866
Kepler-1729 b,Kepler-1729,576.181,4.220970154,0.0418,14.4,3.89404186,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.544,-0.66329,Transit,0.21712508426380733
Kepler-81 b,Kepler-81,348.291,5.955,0.0522,17.2,2.42,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.64,-0.88941,Transit,0.12900008605085006
K2-198 d,K2-198,110.567,7.4500177,,6.52,2.438,,,,,0,,0.799,-0.40084,Transit,0.39733790720241513
Kepler-501 b,Kepler-501,1125.24,5.640677572,0.0627,17.1,4.3,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,1.03,0.21635,Transit,1.64569746438978
K2-198 c,K2-198,110.567,3.3596055,,2.61,1.423,,,,,0,,0.799,-0.40084,Transit,0.39733790720241513
OGLE-2013-BLG-0132L b,OGLE-2013-BLG-0132L,3900.0,,3.6,92.0,11.6,,,,,0,,0.54,,Microlensing,
