pl_name,hostname,discoverymethod,pl_orbper,pl_orbsmax,pl_bmasse,st_mass,pl_orbeccen,expected_eccentricity,eccentricity_for_analysis
Kepler-26 b,Kepler-26,Transit,12.282998287,0.0847,,0.537,0.0,0.07879346788904007,0.07879346788904007
Kepler-646 b,Kepler-646,Transit,15.87364565,0.11251,,0.753,,0.08318357409957844,0.08318357409957844
Kepler-484 b,Kepler-484,Transit,10.04556899,,,0.99,,0.0722516106571528,0.0722516106571528
Kepler-275 d,Kepler-275,Transit,35.6756963,0.2338,,1.339,0.0,0.09594676070597802,0.09594676070597802
Kepler-512 b,Kepler-512,Transit,34.43587975,0.2038,,0.952,0.0,0.09372666140983853,0.09372666140983853
Kepler-559 b,Kepler-559,Transit,,,,,,0.09851524064556692,0.09851524064556692
EPIC 201238110 b,EPIC 201238110,Transit,28.1696,,,,,0.08685418427625245,0.08685418427625245
Kepler-29 b,Kepler-29,Transit,10.3392924,0.092,,0.97,0.0,0.0794927711286956,0.0794927711286956
OGLE-2018-BLG-0532L b,OGLE-2018-BLG-0532L,Microlensing,,1.064,6.228,0.195,,0.09469960356494884,0.09469960356494884
Kepler-1446 b,Kepler-1446,Transit,0.689967832,,,0.81,,0.04384398160708749,0.04384398160708749
Kepler-1171 b,Kepler-1171,Transit,1.44259224,0.0284,,1.462,0.0,0.06171331790941524,0.06171331790941524
Kepler-112 b,Kepler-112,Transit,8.408878,0.076,,,,0.07775504811753453,0.07775504811753453
Kepler-1138 b,Kepler-1138,Transit,3.1705876036,,,0.96,,0.05862448056013459,0.05862448056013459
TCP J05074264+2447555 b,TCP J05074264+2447555,Microlensing,,0.5,9.2,0.25,,0.10479829775310114,0.10479829775310114
Kepler-79 c,Kepler-79,Transit,27.4023619,,,1.24,,0.08770018490755759,0.08770018490755759
Kepler-1959 b,Kepler-1959,Transit,6.3867289,0.0617,,0.768,0.0,0.07337860685998036,0.07337860685998036
Kepler-1496 b,Kepler-1496,Transit,64.6588017,0.3255,,1.096,0.0,0.10288535815554053,0.10288535815554053
Kepler-407 b,Kepler-407,Transit,,,,,,0.09851524064556692,0.09851524064556692
Kepler-1446 b,Kepler-1446,Transit,0.689967832,0.0151,,0.97,0.0,0.054307638252350916,0.054307638252350916
Kepler-182 b,Kepler-182,Transit,9.82578435,0.09312,,1.114,,0.07954081083373463,0.07954081083373463
Kepler-79 e,Kepler-79,Transit,81.0659,0.386,4.1,1.165,0.012,0.06606510678198205,0.012
Kepler-130 b,Kepler-130,Transit,8.4573432106,,,1.091,,0.07058325436800549,0.07058325436800549
Kepler-1400 b,Kepler-1400,Transit,,,,,,0.09851524064556692,0.09851524064556692
Kepler-1065 b,Kepler-1065,Transit,3.609308907,0.0455,,0.963,0.0,0.06860189307992302,0.06860189307992302
Kepler-817 b,Kepler-817,Transit,3.990105908,,,0.99,,0.06124747275432149,0.06124747275432149
Kepler-1056 b,Kepler-1056,Transit,27.495634,0.1629,,0.762,0.0,0.0897813152385385,0.0897813152385385
Kepler-1684 b,Kepler-1684,Transit,47.7055,,,0.75,,0.09310400981065793,0.09310400981065793
Kepler-460 c,KIC 5437945,Transit,220.1303357,0.721,,1.031,0.0,0.1208424585597752,0.1208424585597752
Kepler-1307 b,Kepler-1307,Transit,18.0166,0.139,,1.1,0.0,0.08643256474903184,0.08643256474903184
Kepler-794 b,Kepler-794,Transit,11.13125132,0.0972,,0.989,0.0,0.08040024152534395,0.08040024152534395
